performance_id,student_id,semester,action_taken,remarks
1,BSCS-F22-M-01,Fall 2024,10,Drop-Out
2,BSCS-F22-M-02,Fall 2024,0,None
3,BSCS-F22-M-03,Fall 2024,0,None
4,BSCS-F22-M-04,Fall 2024,0,None
5,BSCS-F22-M-05,Fall 2024,0,None
6,BSCS-F22-M-06,Fall 2024,0,None
7,BSCS-F22-M-07,Fall 2024,0,None
8,BSCS-F22-M-08,Fall 2024,0,None
9,BSCS-F22-M-09,Fall 2024,0,None
10,BSCS-F22-M-10,Fall 2024,1,Warning
11,BSCS-F22-M-11,Fall 2024,0,None
12,BSCS-F22-M-12,Fall 2024,10,Drop-Out
13,BSCS-F22-M-13,Fall 2024,0,None
14,BSCS-F22-M-14,Fall 2024,2,Warning
15,BSCS-F22-M-15,Fall 2024,0,None
16,BSCS-F22-M-16,Fall 2024,0,None
17,BSCS-F22-M-17,Fall 2024,0,None
18,BSCS-F22-M-18,Fall 2024,0,None
19,BSCS-F22-M-19,Fall 2024,0,None
20,BSCS-F22-M-20,Fall 2024,0,None
21,BSCS-F22-M-21,Fall 2024,2,Warning
22,BSCS-F22-M-22,Fall 2024,10,Drop-Out
23,BSCS-F22-M-23,Fall 2024,0,None
24,BSCS-F22-M-24,Fall 2024,0,None
25,BSCS-F22-M-25,Fall 2024,1,Warning
26,BSCS-F22-M-26,Fall 2024,0,None
27,BSCS-F22-M-27,Fall 2024,0,None
28,BSCS-F22-M-28,Fall 2024,0,None
29,BSCS-F22-M-29,Fall 2024,2,Warning
30,BSCS-F22-M-30,Fall 2024,0,None
31,BSCS-F22-M-31,Fall 2024,0,None
32,BSCS-F22-M-32,Fall 2024,2,Warning
33,BSCS-F22-M-33,Fall 2024,0,None
34,BSCS-F22-M-34,Fall 2024,0,None
35,BSCS-F22-M-35,Fall 2024,2,Warning
36,BSCS-F22-M-36,Fall 2024,0,None
37,BSCS-F22-M-37,Fall 2024,2,Warning
38,BSCS-F22-M-38,Fall 2024,0,None
39,BSCS-F22-M-39,Fall 2024,0,None
40,BSCS-F22-M-40,Fall 2024,0,None
41,BSCS-F22-M-41,Fall 2024,0,None
42,BSCS-F22-M-42,Fall 2024,0,None
43,BSCS-F22-M-43,Fall 2024,0,None
44,BSCS-F22-M-44,Fall 2024,1,Warning
1,BSCS-F22-M-01,Spring 2025,10,Drop-Out
2,BSCS-F22-M-02,Spring 2025,0,None
3,BSCS-F22-M-03,Spring 2025,0,None
4,BSCS-F22-M-04,Spring 2025,0,None
5,BSCS-F22-M-05,Spring 2025,0,None
6,BSCS-F22-M-06,Spring 2025,0,None
7,BSCS-F22-M-07,Spring 2025,0,None
8,BSCS-F22-M-08,Spring 2025,0,None
9,BSCS-F22-M-09,Spring 2025,0,None
10,BSCS-F22-M-10,Spring 2025,1,Warning
11,BSCS-F22-M-11,Spring 2025,0,None
12,BSCS-F22-M-12,Spring 2025,10,Drop-Out
13,BSCS-F22-M-13,Spring 2025,0,None
14,BSCS-F22-M-14,Spring 2025,2,Warning
15,BSCS-F22-M-15,Spring 2025,0,None
16,BSCS-F22-M-16,Spring 2025,0,None
17,BSCS-F22-M-17,Spring 2025,0,None
18,BSCS-F22-M-18,Spring 2025,0,None
19,BSCS-F22-M-19,Spring 2025,0,None
20,BSCS-F22-M-20,Spring 2025,0,None
21,BSCS-F22-M-21,Spring 2025,2,Warning
22,BSCS-F22-M-22,Spring 2025,10,Drop-Out
23,BSCS-F22-M-23,Spring 2025,0,None
24,BSCS-F22-M-24,Spring 2025,0,None
25,BSCS-F22-M-25,Spring 2025,1,Warning
26,BSCS-F22-M-26,Spring 2025,1,Warning
27,BSCS-F22-M-27,Spring 2025,0,None
28,BSCS-F22-M-28,Spring 2025,0,None
29,BSCS-F22-M-29,Spring 2025,2,Warning
30,BSCS-F22-M-30,Spring 2025,0,None
31,BSCS-F22-M-31,Spring 2025,0,None
32,BSCS-F22-M-32,Spring 2025,2,Warning
33,BSCS-F22-M-33,Spring 2025,0,None
34,BSCS-F22-M-34,Spring 2025,0,None
35,BSCS-F22-M-35,Spring 2025,2,Warning
36,BSCS-F22-M-36,Spring 2025,0,None
37,BSCS-F22-M-37,Spring 2025,2,Warning
38,BSCS-F22-M-38,Spring 2025,0,None
39,BSCS-F22-M-39,Spring 2025,1,Warning
40,BSCS-F22-M-40,Spring 2025,0,None
41,BSCS-F22-M-41,Spring 2025,0,None
42,BSCS-F22-M-42,Spring 2025,0,None
43,BSCS-F22-M-43,Spring 2025,0,None
44,BSCS-F22-M-44,Spring 2025,1,Warning
,,,,
